product_name,active_ingredient,quantity,pack_size_value,pack_size_unit,batch_number,mfg_date,expiry_date,supplier,storage_location,date_received,month,received_by,remarks
AA7,"FAA 10%, TSF 50%, N 7%, Zn + B + Mo",1,250,ml,20250520,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA8,"OLI 5%, CHI 5%, SA 1%, N 7%, AA 10%, Mo 0.01%, Mn + Zn + B 2%)",1,250,ml,20250511,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Zn,Nano Zn 15%,1,250,ml,20241227,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Copper,Nano Cu 15%,1,250,ml,1131015,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Silver,Nano Silver 1%,1,250,ml,BBEAFAC,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
BIOCHAR,,2,18,Kg,,,11-Nov-27,ALCOM CARBON MARKETS PHIL. INC.,LAB,11-Nov-25,November,FDC,No STA. to be used in Fusarium Trial
VENERGY,Amino Acid,2,1,L,,,11-Nov-27,ROVENSA,LAB,11-Nov-25,November,FDC,
BIOCHAR + Chicken Dung,,2,43,kg,,,18-Nov-27,ALCOM CARBON MARKETS PHIL. INC.,Warehouse,18-Nov-25,November,FDC,will be used for FUSARIUM trial
Clethodim 240EC (Analytical Standard),Clethodim,1,1,g,,,26-Nov-24,,C1,27-Nov-22,November,FDC,
TURBO ROOT WG,,5,1,kg,25J4003,19-Nov-25,19-Nov-27,,C1,29-Nov-25,November,FDC,
Biological Oil,,1,1,Gal,,,16-Dec-28,ALCOM CARBON MARKETS PHIL. INC.,LAB,17-Dec-26,December,FDC,Ask supplier for the info of the product
VERNO Cu30 + Zn30,,30,100,g,,,09-Jan-28,Allied Botanical,C1,09-Jan-26,January,FDC,Sample for Lapanday
NORDOX 75WG,,12,250,g,,,09-Jan-28,Allied Botanical,C1,09-Jan-26,January,FDC,
Pineguard,Plant Based extract,1,500,ml,,,11-Feb-28,CHEMREZ,B2,11-Feb-26,February,FDC,
Golden Set,,1,1,kg,,,31-Mar-28,AgChem,C1,01-Apr-26,April,FDC,To be tested in Mango
Mangotone,,1,1,L,,,31-Mar-28,,A1,01-Apr-26,April,FDC,To be tested in Mango
Fenitrothion,,1,1,L,,,12-Apr-28,,A1,13-Apr-26,April,FDC,Samples for DMPI
